"state_abbreviation","state","district","state_district","district_id","i","candidate_name","party","primary_votes","primary_percent","general_votes","general_percent","TotalPop","discuss","discussOppose","reducetax","reducetaxOppose","CO2limits","CO2limitsOppose","localofficials","localofficialsOppose","governor","governorOppose","congress","congressOppose","president","presidentOppose","corporations","corporationsOppose","citizens","citizensOppose","regulate","regulateOppose","supportRPS","supportRPSOppose","drilloffshore","drilloffshoreOppose","drillANWR","drillANWROppose","fundrenewables","fundrenewablesOppose","rebates","rebatesOppose","mediaweekly","mediaweeklyOppose","gwvoteimp","gwvoteimpOppose","teachGW","teachGWOppose","priority","priorityOppose","happening","happeningOppose","human","humanOppose","consensus","consensusOppose","worried","worriedOppose","personal","personalOppose","harmUS","harmUSOppose","devharm","devharmOppose","futuregen","futuregenOppose","harmplants","harmplantsOppose","timing","timingOppose","affectweather","affectweatherOppose","lcv_score"
"AZ","Arizona","03","Arizona_03","AZ 03","(I)","Grijalva, Raúl","D","45186",0.998210617005766,"114650",0.638654619592464,561229,37.874,61.948,68.766,29.628,72.366,27.057,56.109,13.87,54.038,13.4,61.802,15.448,60.929,9.254,71.027,8.747,66.378,9.406,75.71,23.185,67.797,30.89,51.717,46.331,33.381,65.199,86.181,12.445,83.509,15.423,24.483,74.476,58.537,30.707,80.955,19.138,57.458,17.944,74.697,8.637,63.143,26.786,58.411,21.332,70.237,29.872,50.933,38.214,66.698,21.551,68.794,16.25,71.599,14.396,72.681,15.001,59.448,40.552,67.158,4.71,97
"AZ","Arizona","04","Arizona_04","AZ 04","(I)","Gosar, Paul","R","94092",1,"188842",0.681653942642626,619962,33.67,66.054,60.01,38.925,59.736,39.007,43.886,18.345,43.094,17.752,50.324,23.969,51.885,13.306,62.477,9.708,56.144,12.129,69.45,29.912,58.728,39.764,61.608,36.103,39.685,58.536,83.711,15.467,78.774,20.18,27.16,72.444,50.662,39.083,70.085,30.016,42.785,33.675,62.918,19.831,48.321,39.113,46.409,31.81,54.55,45.204,37.312,51.209,55.037,33.555,56.707,28.175,59.431,25.936,60.681,26.193,49.529,50.471,57.168,7.492,3
"AZ","Arizona","05","Arizona_05","AZ 05","(I)","Biggs, Andy","R","86418",1,"186037",0.594245904990673,593003,37.432,62.492,62.293,36.615,63.388,35.973,47.681,17.457,45.873,18.704,54.54,22.931,54.807,13.21,67.122,11.303,60.345,11.953,72.572,26.811,63.598,35.24,60.089,38.861,37.069,60.824,85.053,14.584,81.826,17.477,29.727,69.311,52.203,37.009,75.605,24.842,46.144,28.97,72.565,14.112,54.74,34.327,52.409,30.051,59.633,40.515,40.237,50.197,57.714,32.863,60.31,26.364,66.173,22.658,66.21,23.226,51.088,48.912,60.61,6.956,0
"AZ","Arizona","06","Arizona_06","AZ 06","(I)","Schweikert, David","R","83406",1,"173140",0.551930353619234,618833,39.24,60.703,62.722,36.13,63.197,36.404,47.299,17.082,46.956,16.658,55.576,22.605,54.393,13.695,67.253,10.048,60.303,11.03,72.519,27.374,62.067,37.894,58.559,41.241,35.1,63.428,85.61,14.121,81.647,18.08,30.867,68.755,55.03,35.228,76.406,23.944,45.98,29.832,67.388,16.438,55.121,33.716,55.196,27.613,59.396,40.797,37.868,54.925,57.265,34.37,61.795,26.919,66.102,24.34,66.313,25.923,52.201,47.799,62.306,6.579,14
"AZ","Arizona","07","Arizona_07","AZ 07","(I)","Gallego, Ruben","D","32231",0.748044653839905,"113044",0.85606318770778,555559,40.192,59.684,72.977,25.248,75.974,23.544,61.66,11.921,59.116,10.891,66.659,12.547,66.934,7.735,73.429,7.598,67.898,8.448,77.483,20.924,69.344,28.609,45.367,51.862,28.889,68.543,87.118,11.209,83.058,15.533,26.208,72.935,64.713,25.137,83.78,16.036,64.254,15.213,76.775,7.72,65.832,25.504,62.521,17.145,73.987,26.104,54.127,35.548,71.015,18.788,72.932,14.362,75.95,11.965,76.216,12.837,65.851,34.149,72.321,4.069,97
"AZ","Arizona","08","Arizona_08","AZ 08","(I)","Lesko, Debbie  #","R","73776",0.771707408918317,"168835",0.554617514790567,604387,36.481,63.429,62.037,36.722,64.8,34.827,47.705,16.782,46.598,15.999,52.803,21.436,53.668,12.642,66.965,9.664,60.035,11.325,71.732,27.692,59.183,40.901,61.978,36.463,37.902,60.38,85.194,14.333,81.8,17.558,28.611,70.814,51.891,37.559,76.173,24.238,45.481,27.45,67.21,13.938,50.933,38.256,50.578,29.988,58.936,41.232,38.311,51.029,57.992,31.763,60.505,25.193,65.95,21.16,66.814,21.737,50.65,49.35,60.786,7.132,3
"AZ","Arizona","09","Arizona_09","AZ 09",NA,"Stanton, Greg","D","59066",1,"159583",0.610855710157132,613239,41.766,58.114,66.13,32.339,69.793,30.221,56.577,14.767,53.771,15.038,61.542,19.165,60.998,10.895,71.917,8.888,64.417,11.06,75.334,24.505,66.499,33.393,53.455,45.515,30.78,68.86,87.256,12.15,82.895,16.896,31.536,68.042,60.392,30.415,80.686,19.603,56.301,22.888,75.07,10.308,60.207,30.304,63.511,23.438,67.614,32.584,45.914,47.785,66.785,25.917,68.937,21.109,73.432,17.019,74.339,16.808,59.09,40.91,69.134,5.732,97
"AR","Arkansas","01","Arkansas_01","AR 01","(I)","Crawford, Rick","R","Unopposed",1,"138757",0.689492906656066,554770,26.729,73.042,59.649,39.791,62.797,36.868,48.743,17.631,46.868,17.838,51.181,23.895,52.046,15.353,63.53,10.379,56.912,12.758,67.319,32.453,58.314,40.728,56.438,42.097,35.39,63.242,79.818,20.028,77.44,22.027,20.199,79.311,51.179,37.852,72.042,27.89,41.831,28.226,66.055,11.963,48.572,39.385,42.305,30.646,52.882,46.86,37.182,49.135,54.885,31.117,59.266,23.821,63.994,19.443,66.685,17.748,51.255,48.745,55.365,7.174,7
"AR","Arkansas","02","Arkansas_02","AR 02","(I)","Hill, French","R","Unopposed",1,"132125",0.521299807064821,582629,30.216,69.785,64.574,34.664,65.201,34.619,49.602,16.677,48.631,16.917,54.488,22.719,53.739,14.554,66.069,10.298,60.283,12.812,70.341,29.074,59.868,39.76,59.887,38.307,34.504,63.751,83.068,16.73,79.657,19.767,22.506,76.824,51.996,36.825,75.837,24.167,47.169,27.175,67.219,14.256,52.109,37.388,49.923,28.542,58.739,41.383,38.502,49.661,56.474,31.318,61.313,24.857,65.763,21.406,66.214,23.451,48.903,51.097,57.184,7.085,10
"AR","Arkansas","03","Arkansas_03","AR 03","(I)","Womack, Steve","R","47757",0.841607190060798,"148717",0.64741759102861,597342,31.641,68.171,62.566,36.949,63.552,36.112,45.996,18.389,45.838,18.389,53.479,23.897,52.975,14.765,65.73,11.155,59.34,13.391,68.855,30.464,57.993,41.928,58.379,40.736,34.356,64.705,82.153,17.978,78.278,21.527,24.409,74.952,52.155,37.439,76.203,24.241,46.84,26.656,68.959,13.186,52.461,36.926,46.077,31.487,58.575,41.488,38.765,51.854,56.973,33.076,62.316,24.793,68.298,19.572,68.657,21.166,53.427,46.573,55.906,7.985,7
"AR","Arkansas","04","Arkansas_04","AR 04","(I)","Westerman, Bruce","R","40201",0.798399269145218,"136740",0.667375983444937,549990,27.517,72.379,60.822,38.581,58.973,40.981,48.097,17.854,46.267,19.08,51.278,25.488,52.074,16.315,62.597,12.159,56.546,14.07,68.292,31.08,55.691,44.435,60.503,37.323,35.141,63.935,80.548,19.131,76.629,22.929,20.165,79.33,51.577,37.705,70.897,29.13,43.148,28.806,62.636,18.2,47.811,38.614,40.575,30.528,53.968,46.147,36.643,49.977,53.314,32.423,57.722,25.837,61.454,22.523,63.302,23.553,50.374,49.626,52.818,7.316,3
"CA","California","01","California_01","CA 01","(I)","La Malfa, Doug","R","98354",0.516643816547688,"160046",0.548865888872885,566444,37.669,62.109,63.68,35.827,65.792,33.886,46.626,18.431,44.365,20.769,55.802,21.787,56.834,12.745,70.368,10.287,62.323,12.049,71.786,27.737,63.767,35.445,50.754,49.39,31.214,68.106,84.705,14.567,81.094,18.01,29.467,69.925,53.513,34.923,76.883,23.468,50.003,25.754,71.377,14.168,53.301,34.309,53.262,27.494,61.454,38.509,39.382,53.074,59.232,33.035,63.477,25.488,69.664,20.559,69.904,20.808,57.225,42.775,61.793,7.065,7
"CA","California","02","California_02","CA 02","(I)","Huffman, Jared W.","D","144005",0.724790497521202,"243081",0.770079548370541,574791,46.376,53.338,71.988,27.309,73.857,26.171,54.597,14.495,51.544,17.168,65.048,17.026,64.827,9.683,75.403,9.758,70.007,9.444,77.712,21.344,71.28,27.58,38.561,61.783,25.653,73.25,88.051,11.103,84.186,15.304,33.681,65.665,62.439,27.415,83.409,16.663,59.678,18.068,80.9,7.868,63.566,25.908,65.004,20.628,70.119,29.918,47.561,44.69,68.842,23.851,72.154,17.42,77.994,13.416,78.215,13.873,64.174,35.826,71.944,4.894,100
"CA","California","03","California_03","CA 03","(I)","Garamendi, John","D","74552",0.535878839283789,"134875",0.58072946941025,563051,37.826,62.037,68.649,30.646,68.134,31.546,51.747,15.607,47.9,18.562,58.724,18.694,60.97,10.594,72.029,9.261,65.525,10.084,74.079,24.908,65.525,33.759,45.973,53.588,28.886,69.984,84.968,14.24,81.088,18.104,25.888,73.191,56.824,31.685,79.781,20.352,51.733,21.482,70.513,10.987,58.001,30.848,55.016,24.09,62.616,37.347,44.136,46.548,62.917,27.674,66.56,21.012,71.782,18.119,73.331,16.729,55.39,44.61,64.619,5.558,97
"CA","California","04","California_04","CA 04","(I)","McClintock, Tom","R","109679",0.518402805677527,"184401",0.541314647707058,581164,39.744,59.941,64.205,35.37,64.552,35.266,48.957,18.608,44.493,23.223,55.402,22.746,57.135,13.872,68.704,11.092,61.67,11.826,71.745,27.888,61.471,38.7,48.683,51.782,30.987,68.414,84.694,14.972,79.313,20.925,30.41,68.736,54.865,34.836,76.772,23.514,49.445,27.206,72.09,12.595,52.866,35.606,57.436,27.085,61.879,38.08,40.641,50.041,58.704,33.127,63.564,24.459,69.024,21.869,69.951,21.683,52.158,47.842,62.079,7.248,3
"CA","California","05","California_05","CA 05","(I)","Thompson, Mike","D","121428",0.793253024641355,"205860",0.788681240374227,576259,42.53,57.275,72.308,26.785,72.582,26.858,56.388,14.308,52.025,16.372,63.816,16.077,65.421,8.724,72.303,8.996,67.434,9.352,76.811,21.861,71.609,26.774,44.661,54.36,25.811,73.035,87.253,11.557,84.023,15.008,28.765,70.377,61.246,28.148,82.575,17.297,60.279,19.2,74.215,8.873,61.115,27.544,62.006,21.002,68.12,31.908,48.11,41.892,66.96,23.042,70.968,17.424,75.899,13.624,76.212,13.768,62.647,37.353,68.545,5.102,90
"CA","California","06","California_06","CA 06","(I)","Matsui, Doris","D","99789",0.878548034934498,"162411",0.804257721391113,564845,40.91,58.722,72.774,26.147,74.113,25.663,60.388,13.742,55.167,16.122,65.753,16.044,66.658,9.263,73.817,9.942,67.371,10.263,76.887,21.027,69.642,28.638,42.384,55.321,26.999,71.324,86.811,11.961,83.249,15.343,26.298,72.882,62.191,26.984,82.404,16.992,61.231,17.248,78.528,7.731,62.771,27.781,63.82,19.128,71.59,28.083,51.94,38.701,68.452,21.925,71.884,16.982,76.406,14.075,77.614,13.799,63.117,36.883,68.674,4.865,97
"CA","California","07","California_07","CA 07","(I)","Bera, Ami","D","84776",0.516548866682915,"155016",0.550449724270907,572885,38.746,61.135,68.244,30.991,67.997,31.813,51.709,16.287,47.616,19.081,60.472,18.669,61.239,11.21,71.828,9.917,64.285,10.794,74.197,24.557,66.783,31.956,46.292,51.926,29.461,69.757,85.656,13.396,82.281,16.852,27.046,72.191,56.732,32.337,79.063,20.859,52.951,20.892,76.446,10.419,60.165,29.929,61.777,24.099,62.916,37.078,43.392,48.133,62.554,28.997,67.431,21.355,74.387,16.121,74.384,16.689,57.363,42.637,66.331,6,97
"CA","California","08","California_08","CA 08","(I)","Cook, Paul","R","44482",0.407609343071044,"102415",0.599672102350909,521572,34.853,64.952,65.836,33.525,63.956,35.617,49.737,17.376,46.738,20.626,56.678,20.274,59.989,11.939,69.493,10.757,62.962,11.334,72.056,26.571,61.005,37.729,49.132,49.558,32.272,66.6,83.466,15.465,79.781,19.144,24.672,74.317,55.562,33.597,77.689,22.541,51.55,22.046,71.917,11.958,52.272,36.936,48.587,26.177,61.843,37.681,43.446,43.772,58.989,29.16,63.839,20.503,68.561,18.492,69.5,17.842,55.616,44.384,60.831,6.458,14
"CA","California","09","California_09","CA 09","(I)","McNerney, Jerry","D","55923",0.531572293565773,"113414",0.564914849847831,552417,37.541,62.286,70.806,28.343,67.642,32.002,54.333,15.339,50.302,18.127,61.602,17.215,62.783,10.054,70.35,10.775,64.493,10.651,73.585,24.928,64.757,33.666,45.117,53.186,29.937,68.604,85.063,13.502,81.983,16.554,23.916,74.968,58.895,29.997,81.148,18.809,55.438,17.759,74.373,8.846,59.899,30.021,57.349,22.358,66.23,33.687,47.679,39.444,64.789,23.216,68.386,16.766,71.908,15.509,73.417,14.604,58.365,41.635,64.767,5.288,97
"CA","California","10","California_10","CA 10",NA,"Harder, Josh","D","20742",0.170355708501359,"115945",0.522510139702569,542267,36.161,63.451,67.918,31.188,62.669,36.731,52.971,17.188,48.677,20.942,60.762,18.583,60.562,11.557,69.133,10.541,63.337,11.794,73.125,25.567,64.252,34.586,46.713,52.619,31.708,66.796,83.859,15.382,81.07,17.985,24.933,73.858,56.151,31.909,78.585,21.334,55.102,20.189,71.209,11.933,60.558,30.398,57.124,23.486,66.371,33.554,46.669,42.016,63.168,26.814,66.157,21.678,72.307,17.139,72.396,17.302,57.892,42.108,63.033,6.279,97
"CA","California","11","California_11","CA 11","(I)","DeSaulnier, Mark","D","107115",0.682791723504889,"204369",0.741324211679441,587506,47.795,51.921,74.202,25.023,76.567,23.42,57.61,13.116,53.84,15.472,65.914,14.52,67.317,8.507,74.215,8.585,69.869,8.554,78.902,20.164,71.798,27.519,37.882,61.402,23.128,75.101,88,10.982,84.401,14.946,32.619,66.698,63.977,25.349,83.634,16.328,63.642,15.653,80.777,6.889,65.427,25.282,68.927,17.622,73.287,26.738,52.229,39.054,71.33,19.943,74.934,14.027,78.52,12.058,79.408,11.665,68.168,31.832,74.134,4.219,100
"CA","California","12","California_12","CA 12","(I)","Pelosi, Nancy","D","141365",0.684967681290035,"275292",0.868231821163647,657170,55.246,44.524,77.343,21.87,82.135,18.06,63.876,10.884,61.366,11.387,74.623,11.769,73.967,6.876,80.5,7.128,75.943,7.127,82.592,15.9,76.45,22.129,27.134,73.063,16.411,82.826,90.41,8.362,86.322,12.522,39.915,59.903,72.099,19.335,86.585,13.316,73.786,11.635,86.768,4.802,76.149,16.719,78.498,13.033,81.368,18.701,57.136,36.781,76.434,17.383,80.485,11.546,83.614,9.284,84.706,8.339,74.327,25.673,79.699,3.536,80
"CA","California","13","California_13","CA 13","(I)","Lee, Barbara","D","159751",0.993297228733624,"260580",0.883810376580958,613048,53.973,45.714,78.358,20.757,82.59,17.45,65.416,9.979,62.906,10.581,75.327,10.317,75.538,5.889,81.342,6.326,77.529,6.619,83.238,15.078,77.159,20.426,26.048,73.141,18.051,79.394,90.152,8.305,86.989,11.414,36.744,62.822,73.083,18.282,87.821,12.14,74.345,10.873,87.096,4.208,75.44,18.238,78.403,12.4,81.514,18.543,58.336,34.381,78.285,14.74,80.979,10.089,83.729,7.951,84.718,7.261,73.992,26.008,80.361,3.284,100
"CA","California","14","California_14","CA 14","(I)","Speier, Jackie","D","123900",0.794465034561473,"211384",0.792225557766759,604569,48.058,51.563,76.296,22.871,79.237,20.595,57.231,12.703,54.696,14.583,68.547,13.511,69.509,7.494,77.675,7.812,71.099,8.139,80.602,18,73.472,25.351,33.465,66.419,20.83,78.054,88.762,10.167,85.444,13.288,31.934,67.362,68.089,22.823,84.554,15.283,66.4,13.965,83.039,5.637,71.237,20.685,69.432,17.326,76.554,23.167,52.966,38.891,72.82,19.784,76.561,13.602,80.8,10.518,80.951,11.149,68.974,31.026,76.117,4.013,93
"CA","California","15","California_15","CA 15","(I)","Swalwell, Eric","D","90971",0.704851856443315,"177989",0.729675438344764,591109,45.004,54.713,74.19,24.922,75.073,24.715,57.306,13.892,54.59,16.048,66.63,15.229,66.781,8.777,74.51,8.568,69.141,8.776,77.834,20.869,71.767,27.186,41.658,58.148,25.841,72.881,87.556,11.558,84.308,14.891,28.219,70.981,63.74,26.621,82.764,17.09,62.876,15.675,79.862,6.962,66.547,24.908,65.839,19.677,72.937,27.026,53.009,39.078,71.573,20.439,74.903,14.707,78.524,12.666,79.059,12.2,64.935,35.065,69.944,4.663,62
"CA","California","16","California_16","CA 16","(I)","Costa, Jim","D","39527",0.529802833514281,"82266",0.575451702935807,507797,38.509,61.173,71.496,27.522,70.167,29.275,56.575,14.81,51.971,16.43,61.261,15.918,63.508,9.295,67.687,9.465,63.802,10.249,73.908,24.742,67.279,31.435,45.227,53.295,28.229,70.231,84.749,13.955,81.257,17.623,23.216,75.718,60.366,28.538,81.572,18.28,60.988,15.721,74.834,7.984,60.839,28.385,53.591,20.555,72.858,27.004,52.341,36.071,68.007,20.987,70.53,16.239,75.356,13.601,75.711,13.952,61.786,38.214,66.463,5.239,79
"CA","California","17","California_17","CA 17","(I)","Khanna, Ro","D","72676",0.619827380343192,"159105",0.753473636355026,606097,43.264,56.487,75.039,24.067,74.499,24.926,57.65,14.291,52.069,17.238,63.551,16.165,63.785,9.253,74.89,8.546,68.563,9.182,76.205,22.881,71.263,28.343,41.113,59.068,25.92,73.152,88.271,10.843,84.134,15.108,26.593,72.893,60.94,28.523,82.82,16.956,60.441,17.771,80.33,6.549,67.297,24.307,66.232,20.933,72.169,27.817,51.055,41.066,68.442,23.223,74.79,14.851,79.061,12.077,79.014,13.702,63.297,36.703,72.357,4.553,97
"CA","California","18","California_18","CA 18","(I)","Eshoo, Anna G.","D","133993",0.734256499057472,"225142",0.744916258048293,576043,48.396,51.274,72.913,26.323,77.045,22.795,57.307,14.41,51.433,16.184,70.442,15.188,68.532,8.416,78.068,7.639,72.964,8.537,78.447,20.511,73.146,25.345,36.533,64.187,24.84,74.646,88.833,10.337,85.152,14.134,32.079,67.315,61.991,27.831,82.784,17.134,63.635,15.987,83.431,6.681,70.094,22.788,71.258,19.96,74.298,25.35,51.112,42.111,71.273,21.96,75.122,14.836,80.194,11.694,80.292,12.432,66.658,33.342,75.282,4.753,93
"CA","California","19","California_19","CA 19","(I)","Lofgren, Zoe","D","97096",0.990219774616287,"162496",0.737548736150763,582173,43.087,56.684,74.417,24.626,73.184,26.584,58.75,14.046,53.593,16.265,66.446,14.679,66.348,8.8,73.872,8.768,68.888,9.037,77.859,20.778,71.504,27.409,41.604,57.985,26.393,72.452,87.708,10.941,84.693,14.293,26.489,72.152,62.638,27.02,82.664,17.057,63.559,15.58,78.946,7.535,65.876,24.212,63.421,19.538,73.438,26.518,53.953,37.178,70.76,20.535,74.899,14.201,78.6,12.205,79.139,12.539,64.2,35.8,71.964,4.383,93
"CA","California","20","California_20","CA 20","(I)","Panetta, Jimmy","D","102828",0.806740885447313,"183677",0.813734654728625,555383,43.375,56.353,73.728,25.441,75.32,24.27,57.266,13.718,53.189,15.456,66.404,14.044,67.079,8.259,74.662,7.942,69.838,8.475,76.965,21.236,70.805,27.053,36.37,61.281,24.876,73.229,86.51,12.071,83.587,15.034,28.685,70.255,62.761,26.553,82.956,16.561,63.798,15.908,78.072,6.216,66.348,23.889,62.377,18.912,71.23,28.716,50.427,39.328,67.698,21.933,71.215,15.407,77.08,12.295,77.89,11.945,64.016,35.984,71.489,4.483,97
"CA","California","21","California_21","CA 21",NA,"Cox, TJ","D","20293",0.371782423098767,"57239",0.503793479791579,493230,35.354,64.249,71.456,27.68,69.643,28.968,53.124,15.563,49.725,18.298,58.603,16.762,62.318,10.009,66.644,12.27,63.503,10.617,72.508,25.639,64.077,33.902,46.057,50.931,30.638,67.66,83.289,15.29,79.342,19.083,21.793,76.971,59.12,29.334,81.513,18.41,53.382,18.388,69.907,11.596,57.411,31.193,50.352,22.279,64.886,34.528,50.157,37.36,63.999,23.59,66.556,18.063,70.552,16.663,71.423,16.983,57.734,42.266,62.909,5.072,97
"CA","California","22","California_22","CA 22","(I)","Nunes, Devin G.","R","70112",0.575618006124644,"117243",0.527221545199862,540638,37.058,62.747,66.737,32.449,66.305,32.675,52.141,16.927,48.662,19.492,59.043,19.296,59.797,11.125,68.058,11.001,63.535,11.541,72.757,25.848,63.647,34.791,47.887,50.863,32.42,65.804,84.263,14.585,81.082,17.745,26.109,73.024,56.74,31.82,77.073,22.728,52.342,23.402,73.129,10.413,57.599,31.156,53.401,23.868,66.208,33.647,46.911,41.599,63.179,26.364,66.489,20.557,71.811,17.329,71.756,18.584,57.569,42.431,63.527,6.456,0
